cell_user_info,returnues_id,time_stamp
"{'cell_user_info': {'ecgi': {'cell_id': '1', 'plmn': {'mcc': 'mcc', 'mnc': 'mnc'}}, 'ue_info': {'associate_id': {'type': '1', 'value': 'constante'}, 'erab_info': {'erab_id': 14, 'erab_qos_parameters': {'qci': 1, 'qos_information': {'erab_gbr_dl': 1, 'erab_gbr_ul': 1, 'erab_mbr_dl': 1, 'erab_mbr_ul': 1}}}}}}",{'request_id': '1'},"{'time_stamp': {'nano_seconds': 12, 'seconds': 13}}"
"{'cell_user_info': {'ecgi': {'cell_id': '2', 'plmn': {'mcc': 'mcc', 'mnc': 'mnc'}}, 'ue_info': {'associate_id': {'type': '1', 'value': 'constante'}, 'erab_info': {'erab_id': 14, 'erab_qos_parameters': {'qci': 1, 'qos_information': {'erab_gbr_dl': 1, 'erab_gbr_ul': 1, 'erab_mbr_dl': 1, 'erab_mbr_ul': 1}}}}}}",{'request_id': '1'},"{'time_stamp': {'nano_seconds': 12, 'seconds': 13}}"
"{'cell_user_info': {'ecgi': {'cell_id': '3', 'plmn': {'mcc': 'mcc', 'mnc': 'mnc'}}, 'ue_info': {'associate_id': {'type': '1', 'value': 'constante'}, 'erab_info': {'erab_id': 14, 'erab_qos_parameters': {'qci': 1, 'qos_information': {'erab_gbr_dl': 1, 'erab_gbr_ul': 1, 'erab_mbr_dl': 1, 'erab_mbr_ul': 1}}}}}}",{'request_id': '1'},"{'time_stamp': {'nano_seconds': 12, 'seconds': 13}}"
"{'cell_user_info': {'ecgi': {'cell_id': '4', 'plmn': {'mcc': 'mcc', 'mnc': 'mnc'}}, 'ue_info': {'associate_id': {'type': '1', 'value': 'constante'}, 'erab_info': {'erab_id': 14, 'erab_qos_parameters': {'qci': 1, 'qos_information': {'erab_gbr_dl': 1, 'erab_gbr_ul': 1, 'erab_mbr_dl': 1, 'erab_mbr_ul': 1}}}}}}",{'request_id': '1'},"{'time_stamp': {'nano_seconds': 12, 'seconds': 13}}"
"{'cell_user_info': {'ecgi': {'cell_id': '5', 'plmn': {'mcc': 'mcc', 'mnc': 'mnc'}}, 'ue_info': {'associate_id': {'type': '1', 'value': 'constante'}, 'erab_info': {'erab_id': 14, 'erab_qos_parameters': {'qci': 1, 'qos_information': {'erab_gbr_dl': 1, 'erab_gbr_ul': 1, 'erab_mbr_dl': 1, 'erab_mbr_ul': 1}}}}}}",{'request_id': '1'},"{'time_stamp': {'nano_seconds': 12, 'seconds': 13}}"
"{'cell_user_info': {'ecgi': {'cell_id': '6', 'plmn': {'mcc': 'mcc', 'mnc': 'mnc'}}, 'ue_info': {'associate_id': {'type': '1', 'value': 'constante'}, 'erab_info': {'erab_id': 14, 'erab_qos_parameters': {'qci': 1, 'qos_information': {'erab_gbr_dl': 1, 'erab_gbr_ul': 1, 'erab_mbr_dl': 1, 'erab_mbr_ul': 1}}}}}}",{'request_id': '1'},"{'time_stamp': {'nano_seconds': 12, 'seconds': 13}}"
"{'cell_user_info': {'ecgi': {'cell_id': '7', 'plmn': {'mcc': 'mcc', 'mnc': 'mnc'}}, 'ue_info': {'associate_id': {'type': '1', 'value': 'constante'}, 'erab_info': {'erab_id': 14, 'erab_qos_parameters': {'qci': 1, 'qos_information': {'erab_gbr_dl': 1, 'erab_gbr_ul': 1, 'erab_mbr_dl': 1, 'erab_mbr_ul': 1}}}}}}",{'request_id': '1'},"{'time_stamp': {'nano_seconds': 12, 'seconds': 13}}"
"{'cell_user_info': {'ecgi': {'cell_id': '8', 'plmn': {'mcc': 'mcc', 'mnc': 'mnc'}}, 'ue_info': {'associate_id': {'type': '1', 'value': 'constante'}, 'erab_info': {'erab_id': 14, 'erab_qos_parameters': {'qci': 1, 'qos_information': {'erab_gbr_dl': 1, 'erab_gbr_ul': 1, 'erab_mbr_dl': 1, 'erab_mbr_ul': 1}}}}}}",{'request_id': '1'},"{'time_stamp': {'nano_seconds': 12, 'seconds': 13}}"
"{'cell_user_info': {'ecgi': {'cell_id': '9', 'plmn': {'mcc': 'mcc', 'mnc': 'mnc'}}, 'ue_info': {'associate_id': {'type': '1', 'value': 'constante'}, 'erab_info': {'erab_id': 14, 'erab_qos_parameters': {'qci': 1, 'qos_information': {'erab_gbr_dl': 1, 'erab_gbr_ul': 1, 'erab_mbr_dl': 1, 'erab_mbr_ul': 1}}}}}}",{'request_id': '1'},"{'time_stamp': {'nano_seconds': 12, 'seconds': 13}}"
"{'cell_user_info': {'ecgi': {'cell_id': '10', 'plmn': {'mcc': 'mcc', 'mnc': 'mnc'}}, 'ue_info': {'associate_id': {'type': '1', 'value': 'constante'}, 'erab_info': {'erab_id': 14, 'erab_qos_parameters': {'qci': 1, 'qos_information': {'erab_gbr_dl': 1, 'erab_gbr_ul': 1, 'erab_mbr_dl': 1, 'erab_mbr_ul': 1}}}}}}",{'request_id': '1'},"{'time_stamp': {'nano_seconds': 12, 'seconds': 13}}"
